-30.023439,-51.20809,"Colégio Bom Conselho"
-30.051019,-51.22798,"Panvel da Marquês do Pombal"
-30.06752,-51.1201,"Justiça do Trabalho da 4ª Região"
-30.073495,-51.120125,"UFRGS - Campus do Vale -  Bloco IV"
-30.025266,-51.2206,"UFRGS - Biblioteca Física"
-30.103738,-51.253,"Escola Estadual de Ensino Médio Infante Dom Henrique"
-30.050689,-51.18135,"Shopping Copacabana Center"
-30.059586,-51.17843,"ESEF - UFRGS"
-30.058063,-51.200881,"Academia Alternativa"
-30.051265,-51.2139,"Escola Rainha do Brasil"
-30.040018,-51.23527,"EPTC"
-30.068402,-51.12138,"Justiça Federal"
-30.028926,-51.23037,"UFRGS - Informática"
-29.823409,-51.14907,"Santander Cultural"
-30.018018,-51.19735,"Biciletário Municipal"
-30.035017,-51.21857,"Panvel Cristóvão Colombo"
-30.07767,-51.2454,"redenção"
-30.032096,-51.21995,"estacionamento - fundação ibere camargo"
-29.994192,-51.21173,"Predio da engenharia - UFRGS"
-30.021766,-51.2107,"Entreato Pub"
-30.112222,-51.25463,"Porto Alegre Hostel"
-30.110051,-51.25307,"Strip Center Zona Sul"
-30.10581,-51.25475,"Zaffari da Otto"
-30.05439,-51.20706,"Granville"
-30.105348,-51.254,"ESPM"
-30.03538,-51.20849,"Panvel Tristeza"
-30.036766,-51.2206,"Ánandam Yoga e Cultura"
-30.032469,-51.11372,"Via Sapiens Livraria"
-30.046845,-51.22654,"Supermercado Brunetto"
-30.04328,-51.21754,"Novo Estacionamento do Shopping Praia de Belas"
-30.033075,-51.2115,"Gatolândia Cat Shop"
-30.030125,-51.22101,"Confeitaria Barcelona"
-29.69364,-51.13079,"Hospital Santa Casa"
-29.748976,-51.14506,"Bourbon Supermercado"
-29.729828,-51.14038,"Estação Rio dos Sinos"
-29.715698,-51.13483,"Estação Santo Afonso"
-30.038883,-51.22855,"Estação das Industrias"
-30.034691,-51.22613,"Aguarde!"
-30.034288,-51.21274,"M\\u0026M Lanches"
-30.035811,-51.20573,"Regentag"
-30.031682,-51.21091,"Vulp Bici Café"
-30.032574,-51.20852,"Saúde no Copo"
-29.684697,-51.127796,"Academia Bioativa"
-29.684581,-51.13566,"Caixa Econômica Federal"
-29.692785,-51.14894,"Lojas Lebes"
-30.006832,-51.14004,"Fundação Liberato"
-30.041393,-51.2105,"Taqi"
-30.046993,-51.20761,"Baden Cafés especiais"
-30.012839,-51.16061,"Pasito"
-30.03917,-51.21917,"Bourbon Wallig"
-30.08289,-51.24439,"Olaria"
-30.047931,-51.23275,"Mercado BIG"
-30.048024,-51.231943,"Ciclovia da Ipiranga"
-30.047968,-51.22956,"Ciclovia da Ipiranga"
-30.047811,-51.2295,"Ciclovia da Ipiranga"
-30.048535,-51.22148,"Ciclovia da Ipiranga"
-30.048553,-51.22015,"Ciclovia da Ipiranga"
-30.04769,-51.21347,"Ciclovia da Ipiranga"
-30.047411,-51.21354,"Ciclovia da Ipiranga"
-30.04717,-51.21271,"Ciclovia da Ipiranga"
-30.0544695,-51.227232,"Ciclovia da Ipiranga"
-30.047003,-51.211665,"Ciclovia da Ipiranga"
-30.043696,-51.2061,"Ciclovia da Ipiranga"
-30.043483,-51.20549,"Ciclovia da Ipiranga"
-30.043464,-51.2048,"Ciclovia da Ipiranga"
-30.043464,-51.20452,"Ciclovia da Ipiranga"
-30.043176,-51.20452,"Ciclovia da Ipiranga"
-30.043186,-51.20384,"Ciclovia da Ipiranga"
-30.03295,-51.21723,"Ciclovia da Ipiranga"
-30.030702,-51.2172,"Ciclofaixa - Vasco da Gama"
-30.030712,-51.21663,"Ciclofaixa - Vasco da Gama"
-30.031743,-51.212277,"Ciclofaixa - Vasco da Gama"
-30.03191,-51.20848,"Ciclofaixa - Vasco da Gama"
-30.032319,-51.20649,"Ciclofaixa - Vasco da Gama"
-30.032727,-51.20404,"Ciclofaixa - Vasco da Gama"
-30.031733,-51.21228,"Ciclofaixa - Vasco da Gama"
-30.034799,-51.21293,"Ciclofaixa - João Telles"
-30.028445,-51.22824,"Ciclofaixa - João Telles"
-30.031733,-51.23773,"Ciclofaixa - 7 de Setembro"
-30.09688,-51.2476,"Ciclofaixa - 7 de Setembro"
-30.09662,-51.24724,"Ciclofaixa - Icaraí"
-30.096141,-51.24652,"Ciclofaixa - Icaraí"
-30.09479,-51.24454,"Ciclofaixa - Icaraí"
-30.09395,-51.24334,"Ciclofaixa - Icaraí"
-30.093779,-51.24312,"Ciclofaixa - Icaraí"
-30.093346,-51.24272,"Ciclofaixa - Icaraí"
-30.093086,-51.24255,"Ciclofaixa - Icaraí"
-30.092804,-51.24241,"Ciclofaixa - Icaraí"
-30.09254,-51.24232,"Ciclofaixa - Icaraí"
-30.084795,-51.2404,"Ciclofaixa - Icaraí"
-30.083764,-51.240742,"Ciclofaixa - Icaraí"
-30.082911,-51.242,"Ciclofaixa - Chuí"
-30.081754,-51.24379,"Ciclofaixa - Chuí"
-30.081559,-51.24,"Ciclofaixa - Chuí"
-30.081313,-51.246635,"Ciclofaixa - Chuí"
